"","date","wcond","temp","atemp","hum","wind","count"
"1",2022-01-01,2,9.1,13.2,79.78,10.43,982
"2",2022-01-02,2,9.9,12.7,68.91,16.16,797
"3",2022-01-03,1,3.1,4.5,43.29,16.14,1351
"4",2022-01-04,1,3.2,5.6,58.45,10.42,1559
"5",2022-01-05,1,4.3,6.5,43.26,12.15,1597
"6",2022-01-06,1,3.4,6.7,51.31,5.82,1603
"7",2022-01-07,2,3.1,5.4,49.37,10.97,1505
"8",2022-01-08,2,1.8,3.1,53.05,17.34,957
"9",2022-01-09,1,0.7,0.8,42.98,23.53,817
"10",2022-01-10,1,1.2,2.5,47.81,14.51,1319
"11",2022-01-11,2,1.9,4.6,67.95,7.94,1259
"12",2022-01-12,1,2.1,3,59.35,19.8,1159
"13",2022-01-13,1,1.8,2.5,46.57,19.56,1401
"14",2022-01-14,1,1.6,4.4,53.24,8.23,1419
"15",2022-01-15,2,4.6,7.4,49.38,10.27,1252
"16",2022-01-16,1,4.5,6.7,47.89,12.25,1201
"17",2022-01-17,2,2.2,3.8,53.21,12.61,999
"18",2022-01-18,2,3.9,6.6,85.31,9.54,678
"19",2022-01-19,2,7,9.9,73.43,13.54,1646
"20",2022-01-20,2,5.7,7.8,53.29,12.73,1925
"21",2022-01-21,1,2.3,2.9,45.25,22.96,1540
"22",2022-01-22,1,-2.6,-1,39.6,11.18,979
"23",2022-01-23,1,-1,-0.1,43.22,16.03,981
"24",2022-01-24,1,-1,0.9,48.68,10.29,1410
"25",2022-01-25,2,4.2,6.7,61.08,8.44,1983
"26",2022-01-26,3,3.9,5.2,85.39,19.1,501
"27",2022-01-27,1,3,6,68.06,7.4,428
"28",2022-01-28,2,3.3,6.2,78.51,8.01,1164
"29",2022-01-29,1,3.1,5.6,64.52,9.45,1094
"30",2022-01-30,1,3.9,7.5,71.5,4.81,1095
"31",2022-01-31,2,2.4,4.3,59.77,12.17,1498
"32",2022-02-01,2,2.9,6.7,82.13,3.46,1354
"33",2022-02-02,2,5.7,7.7,76.77,17.18,1524
"34",2022-02-03,1,2.7,3.9,43.34,18.05,1548
"35",2022-02-04,2,3.7,6.4,57.94,8.31,1707
"36",2022-02-05,2,4.6,7.2,91.99,10.47,1001
"37",2022-02-06,1,6.7,9.6,56.26,9.22,1619
"38",2022-02-07,1,6.1,10.2,73.09,2.95,1709
"39",2022-02-08,1,4.1,4.9,53.25,23.53,1526
"40",2022-02-09,2,0.5,2.2,48.98,12.27,1603
"41",2022-02-10,1,0.9,2.5,43.3,14.43,1536
"42",2022-02-11,1,2.8,5.7,50.13,7.06,1743
"43",2022-02-12,1,4.1,6.6,53.87,13.22,1468
"44",2022-02-13,1,8,11.2,45.28,16.96,1588
"45",2022-02-14,1,12,14.9,37.21,27.16,1910
"46",2022-02-15,1,5.9,7.7,31.12,18.94,1813
"47",2022-02-16,1,8,10.8,41.92,16.37,2109
"48",2022-02-17,1,12.9,16.4,49.99,14.96,2470
"49",2022-02-18,1,16.4,20.6,51.15,17.22,2925
"50",2022-02-19,1,11.4,14.6,18.6,32.99,1631
"51",2022-02-20,1,6.7,8.9,40.37,14.51,1807
"52",2022-02-21,2,7.4,9.2,59.89,20.01,1105
"53",2022-02-22,1,2.5,4.3,57.2,12.72,1446
"54",2022-02-23,1,4.1,7.3,41.88,6.12,1914
"55",2022-02-24,2,7.1,9.5,69.04,16.28,1804
"56",2022-02-25,2,9.9,12.5,70.51,22.53,1458
"57",2022-02-26,1,6.6,9.1,53.25,12.13,1965
"58",2022-02-27,1,9.1,12.6,67.32,8.14,2396
"59",2022-02-28,2,11.7,15,86.76,18.83,1443
"60",2022-03-01,1,5.9,8.2,52.97,14.07,1847
"61",2022-03-02,1,8.7,11,44.51,20.01,2132
"62",2022-03-03,1,3.1,5,31.51,14.67,1682
"63",2022-03-04,2,5.7,7.8,60.43,13.22,1940
"64",2022-03-05,2,10.8,13.9,78.13,16.37,2073
"65",2022-03-06,2,10.4,13.3,93.88,22.31,608
"66",2022-03-07,1,5.7,6.9,54.58,22.19,1867
"67",2022-03-08,1,7,10.1,41.66,7.84,2134
"68",2022-03-09,2,7.1,9.3,76.77,14.31,1886
"69",2022-03-10,3,11,14.3,0,17.02,619
"70",2022-03-11,2,8,10.2,64.31,15.14,1974
"71",2022-03-12,1,8.5,11.3,58.86,14.35,2127
"72",2022-03-13,1,10.8,14,52.21,17.59,2415
"73",2022-03-14,1,8.3,11.6,49.2,8.9,2042
"74",2022-03-15,2,8,10.9,64.91,11.98,2052
"75",2022-03-16,2,10,13.3,76.88,13.2,2189
"76",2022-03-17,1,12,15.5,59.69,13.62,2741
"77",2022-03-18,1,17.1,21.4,52,15.02,3237
"78",2022-03-19,1,14.4,18.3,37.54,23.93,3115
"79",2022-03-20,1,8.6,11.3,46.9,13.5,2466
"80",2022-03-21,2,12.6,15.5,73,18.77,2073
"81",2022-03-22,1,13.1,17,61.83,14.67,2698
"82",2022-03-23,2,9.2,11.9,83.12,15.23,2116
"83",2022-03-24,2,6.7,8.5,79.78,15.85,1859
"84",2022-03-25,1,5.8,7.8,49.01,15,2207
"85",2022-03-26,1,5.9,7.9,39.02,13.62,2490
"86",2022-03-27,2,5.4,7.5,48.9,11.98,1690
"87",2022-03-28,1,5.8,7.9,29.92,13.79,2025
"88",2022-03-29,1,7.4,9.6,31.1,14.75,2422
"89",2022-03-30,2,7.3,9.9,64.02,11.24,1535
"90",2022-03-31,3,6,7.9,90.91,14.15,1680
"91",2022-04-01,2,7.3,9.2,67.94,16.82,2225
"92",2022-04-02,2,7.9,10.8,64.72,12.81,2251
"93",2022-04-03,1,10.5,13.9,47.52,11.84,3245
"94",2022-04-04,1,18.5,22.1,42.2,25.06,3111
"95",2022-04-05,2,12,14.9,63.57,25.22,1792
"96",2022-04-06,1,11,14.4,46.61,17.1,2803
"97",2022-04-07,1,12.9,16.7,59.69,10.55,3136
"98",2022-04-08,2,8.8,11.2,82.79,14.75,1466
"99",2022-04-09,2,9,12.1,86.87,8.65,2452
"100",2022-04-10,2,12.5,16.3,84.89,9.54,2893
"101",2022-04-11,2,19.4,23.3,70.98,21.09,3346
"102",2022-04-12,2,15.6,19.7,73.18,17.87,2035
"103",2022-04-13,2,11.9,15.9,81.1,16.29,2161
"104",2022-04-14,1,14.2,18.1,53.5,7.2,3262
"105",2022-04-15,1,13.3,17.1,66.45,14.71,3128
"106",2022-04-16,3,12.7,16.3,87.94,22.15,791
"107",2022-04-17,1,13.7,17.3,47.48,19.73,3741
"108",2022-04-18,1,16,20.2,53.71,10.63,3427
"109",2022-04-19,2,15.7,19.5,65.92,10.27,3201
"110",2022-04-20,1,19.4,23.2,60.8,15.73,3941
"111",2022-04-21,1,13.8,17.7,40.3,21.14,4185
"112",2022-04-22,2,8.8,11.1,72.23,14.27,1679
"113",2022-04-23,2,13.9,17.5,87.9,15,4033
"114",2022-04-24,2,18.8,22.6,80.27,12.49,4190
"115",2022-04-25,1,19.9,23.7,76.89,12.05,4070
"116",2022-04-26,1,20.9,24.7,72.19,21.22,4396
"117",2022-04-27,2,20.4,23.8,82.71,20.29,3869
"118",2022-04-28,2,20.3,23.9,69.38,20.86,4054
"119",2022-04-29,1,15.9,19.9,45.25,15.6,4589
"120",2022-04-30,1,14.4,18.2,49.83,15.28,5308
"121",2022-05-01,2,13.5,17.4,75.45,6.91,3347
"122",2022-05-02,2,17.5,21.6,72.27,11.92,4398
"123",2022-05-03,2,20.3,24.1,69.01,22.27,4447
"124",2022-05-04,2,12,15.2,72.97,21.38,2634
"125",2022-05-05,1,13.8,17.1,43.97,19.2,4431
"126",2022-05-06,1,14.6,18.7,58.41,14.84,4606
"127",2022-05-07,1,16.3,20.6,53.58,10.43,4711
"128",2022-05-08,1,16.7,20.9,62.54,4.85,4332
"129",2022-05-09,1,16.8,21.3,58.29,11.44,4358
"130",2022-05-10,1,16.8,21.1,48.43,7.52,4800
"131",2022-05-11,1,17.2,21.4,62.66,7.84,4178
"132",2022-05-12,1,16.9,21.2,74,12.33,4862
"133",2022-05-13,2,16,19.7,85.47,11.68,4101
"134",2022-05-14,2,16.4,20,91.33,8.77,3407
"135",2022-05-15,2,18.1,21.8,85.84,9.94,4552
"136",2022-05-16,1,18.7,22.5,78,8.25,3958
"137",2022-05-17,2,18,21.9,82.95,18.03,4118
"138",2022-05-18,2,17.6,21.4,86.13,13.1,3851
"139",2022-05-19,2,16.8,20.5,82.13,7.03,4574
"140",2022-05-20,1,17,21.5,71.24,8.13,4915
"141",2022-05-21,1,19.7,23.6,62.04,7.84,5800
"142",2022-05-22,1,19.8,23.7,74.21,9.62,4657
"143",2022-05-23,2,20.9,24.5,80.19,15.2,4270
"144",2022-05-24,2,22.1,25.2,73.34,13.46,4486
"145",2022-05-25,1,22.1,25.8,68.93,10.03,4977
"146",2022-05-26,1,24,27.7,67.07,12.98,4679
"147",2022-05-27,1,22.9,26.9,64.72,15.64,4678
"148",2022-05-28,1,21.9,25.6,72.23,14.96,4755
"149",2022-05-29,1,22.4,25.8,81.06,13.91,4784
"150",2022-05-30,1,25.1,28.6,67.82,8.53,4096
"151",2022-05-31,1,26.8,31.3,63.03,7.24,3978
"152",2022-06-01,2,26.3,31,67.03,13.46,3972
"153",2022-06-02,1,24.3,27.2,30.2,19,4964
"154",2022-06-03,1,20.4,24.4,35.06,16.45,5310
"155",2022-06-04,1,21,24.7,45.17,8,5341
"156",2022-06-05,2,21.6,25.8,64.6,9.01,4905
"157",2022-06-06,1,22.8,26.1,59.4,7.92,4546
"158",2022-06-07,1,24,27.8,59.19,12.21,4832
"159",2022-06-08,1,26.8,31.4,61.59,8.89,4396
"160",2022-06-09,2,28.1,32.9,56.26,9.74,3915
"161",2022-06-10,1,26,30.2,59.89,9.14,4584
"162",2022-06-11,1,24.7,28.9,64.8,10.07,4960
"163",2022-06-12,1,23.4,27.2,74.04,10.63,4456
"164",2022-06-13,1,21,25.1,48.96,19.85,5017
"165",2022-06-14,1,19.8,24.6,50.2,17.5,4891
"166",2022-06-15,1,20.7,24.4,46.7,10.91,5176
"167",2022-06-16,2,20.8,24.8,68.14,13.42,3764
"168",2022-06-17,1,21.6,25,72.85,9.3,4840
"169",2022-06-18,1,23.6,27.2,66.37,7.76,5115
"170",2022-06-19,2,23.7,27.3,66,6.63,4740
"171",2022-06-20,2,21,24.8,73.88,10.11,4005
"172",2022-06-21,2,22.9,26.9,76.27,11.12,4833
"173",2022-06-22,1,25.1,29.7,70.04,11.2,4504
"174",2022-06-23,2,24.9,29.7,69.63,15.52,4789
"175",2022-06-24,1,24.7,27.8,56.76,14.43,4987
"176",2022-06-25,1,23.5,27.2,47.85,13.62,5198
"177",2022-06-26,1,22.9,26.9,50.82,6.14,5306
"178",2022-06-27,2,23,26.9,65.17,6.99,4705
"179",2022-06-28,1,25.5,29.6,62.78,9.38,4645
"180",2022-06-29,1,24.9,27.7,49.29,17.02,5223
"181",2022-06-30,1,23.6,26.9,42.98,12.05,5510
"182",2022-07-01,1,24.6,27.6,39.23,6.67,5363
"183",2022-07-02,1,25.3,28.4,44.01,7.48,5116
"184",2022-07-03,2,24.4,28.4,67.57,14.88,4646
"185",2022-07-04,2,24.8,28.3,63.15,5.3,6041
"186",2022-07-05,1,25.6,29.8,58.45,8.21,4662
"187",2022-07-06,1,24.5,29.3,73.59,9.74,4625
"188",2022-07-07,1,25.8,29.3,64.47,10.35,4592
"189",2022-07-08,2,24.1,28.5,75.03,14.63,4038
"190",2022-07-09,1,25.1,28.2,60.31,10.91,5334
"191",2022-07-10,1,25.6,29.5,57.25,11.93,4875
"192",2022-07-11,1,26.3,31.5,62.95,18.35,4082
"193",2022-07-12,1,27.6,32,55.36,13.02,4256
"194",2022-07-13,1,25.6,29.5,62.54,9.5,4341
"195",2022-07-14,1,22.9,26.8,47.15,15.64,5081
"196",2022-07-15,1,22.2,26.2,58.53,11.88,5537
"197",2022-07-16,1,23.2,26.9,57.92,13.54,5918
"198",2022-07-17,1,24.5,28.5,59.81,15.93,5298
"199",2022-07-18,1,25.6,30.2,64.47,14.03,4453
"200",2022-07-19,1,26.8,32.4,64.39,8.49,4538
"201",2022-07-20,1,26.5,32.3,70,7.4,4329
"202",2022-07-21,2,28.4,36.3,68.43,14.43,3782
"203",2022-07-22,1,29.8,37,57.46,8.65,3384
"204",2022-07-23,1,29.8,35.2,49.5,8.53,3281
"205",2022-07-24,1,29,34.7,54.53,11,3601
"206",2022-07-25,1,25.5,31,74.95,5.9,3834
"207",2022-07-26,1,26.6,29.8,53.54,13.02,4593
"208",2022-07-27,1,26.8,29.5,39.89,11.93,4654
"209",2022-07-28,1,26.9,32,57.75,11.6,4387
"210",2022-07-29,1,29.4,34.3,53.71,11.32,3846
"211",2022-07-30,1,28,31.4,46.12,10.95,4469
"212",2022-07-31,1,28,31.5,47.6,10.71,4302
"213",2022-08-01,1,26.6,30.2,54.53,10.19,4262
"214",2022-08-02,1,27.1,30.4,48.63,13.38,4841
"215",2022-08-03,2,25,29,65.09,8.81,3570
"216",2022-08-04,2,24.1,28.2,74.99,12.81,4578
"217",2022-08-05,1,24.1,27.8,62.45,12.01,4861
"218",2022-08-06,2,24.4,28.8,74.75,14.84,4292
"219",2022-08-07,1,25.4,30.8,74.54,13.1,3782
"220",2022-08-08,1,26.4,30.2,58.62,12.49,4322
"221",2022-08-09,1,26.8,31.2,56.47,9.82,4597
"222",2022-08-10,1,26.4,29.2,41.99,13.02,4779
"223",2022-08-11,1,24.4,27.6,41.95,10.71,4794
"224",2022-08-12,1,24,27.7,41.08,8.17,4903
"225",2022-08-13,2,23.1,27.3,72.23,13.74,4145
"226",2022-08-14,2,22.7,26.2,80.93,14.47,3816
"227",2022-08-15,1,22.3,25.8,70.5,13.58,4334
"228",2022-08-16,1,23.7,27.3,57.25,15.36,4722
"229",2022-08-17,1,24.7,28.3,56.97,9.34,4688
"230",2022-08-18,1,24.2,28.1,64.8,15.16,3800
"231",2022-08-19,2,23.1,26.7,71.57,9.06,4150
"232",2022-08-20,1,23.6,27.4,66.74,6.79,5186
"233",2022-08-21,1,24.1,28.8,76.23,16.17,3871
"234",2022-08-22,1,23.4,26.9,46.53,17.99,4757
"235",2022-08-23,1,21.3,25.3,45.09,9.54,5892
"236",2022-08-24,1,22.6,26.5,59.89,16.45,5128
"237",2022-08-25,2,23.1,27.3,76.4,13.7,3540
"238",2022-08-26,1,23.7,28,75.36,5.46,4660
"239",2022-08-27,2,22.9,26.8,84.15,24.42,1111
"240",2022-08-28,1,24,27.4,55.61,19.8,4329
"241",2022-08-29,1,21.1,25.4,54.9,10.39,4633
"242",2022-08-30,1,21.2,24.7,54.28,8.13,5201
"243",2022-08-31,1,21.9,25.6,59.19,5.42,5056
"244",2022-09-01,1,21.9,25.7,63.28,9.22,5109
"245",2022-09-02,2,21.4,25.2,71.98,9.1,4723
"246",2022-09-03,1,22.4,26.7,70.95,12.05,4479
"247",2022-09-04,1,24.1,28.3,73.47,13.42,4937
"248",2022-09-05,2,22.6,26.3,78.25,13.83,3349
"249",2022-09-06,3,17.1,20.8,87.81,22.36,2708
"250",2022-09-07,3,19.6,22.2,90.79,6.31,1993
"251",2022-09-08,3,21,22.8,93.02,12.53,1839
"252",2022-09-09,2,21.7,23.9,88.89,8.08,3539
"253",2022-09-10,1,22.1,25.4,74.62,9.98,5342
"254",2022-09-11,1,21.8,25.5,70.66,7.48,5042
"255",2022-09-12,1,21.4,25.1,68.53,5.78,4709
"256",2022-09-13,1,21.7,25.2,70.54,9.22,4759
"257",2022-09-14,1,22.6,26.3,69.01,10.87,4784
"258",2022-09-15,2,18.7,22.7,70.21,17.62,3657
"259",2022-09-16,2,14.2,18.1,58.45,10.67,4758
"260",2022-09-17,2,15.2,18.9,71.11,12.33,4510
"261",2022-09-18,1,15.8,19.5,68.8,11.6,4273
"262",2022-09-19,2,17.5,21.5,68.31,9.86,4535
"263",2022-09-20,2,18,21.6,87.24,8.77,3636
"264",2022-09-21,2,19.4,22.5,89.1,6.27,4351
"265",2022-09-22,2,20.8,22.7,89.31,8.33,4792
"266",2022-09-23,2,20,21.1,96.28,5.09,2392
"267",2022-09-24,2,19.9,23.2,85.39,5.09,5424
"268",2022-09-25,2,21,23.6,83.66,3.27,5004
"269",2022-09-26,2,21.6,24.5,83.98,7.2,4628
"270",2022-09-27,2,21.1,23.7,87.66,7.68,4116
"271",2022-09-28,2,21,23.8,84.03,9.66,3903
"272",2022-09-29,1,20.3,23.7,69.22,11.24,4835
"273",2022-09-30,1,18.1,22.2,64.1,13.42,5198
"274",2022-10-01,2,11.8,15.6,74.62,19,2424
"275",2022-10-02,2,9.6,12.3,78.38,14.43,2914
"276",2022-10-03,2,10.8,14.6,75.32,5.42,3567
"277",2022-10-04,1,14.9,18.6,70.29,13.38,4451
"278",2022-10-05,1,17.1,21.4,64.14,11.52,4823
"279",2022-10-06,1,15.3,19,61.46,8.77,4760
"280",2022-10-07,1,15.9,20.2,67.73,1.46,4979
"281",2022-10-08,1,16.4,20.7,69.42,2.95,5407
"282",2022-10-09,1,17.2,21.2,72.02,4.12,5509
"283",2022-10-10,1,18.4,22.1,72.64,2.75,5113
"284",2022-10-11,2,18.2,22.3,80.07,9.3,4561
"285",2022-10-12,3,17.3,20.9,89.72,16.13,2415
"286",2022-10-13,2,19.2,22.6,88.77,9.22,2910
"287",2022-10-14,2,17.6,21.5,70.91,14.55,3640
"288",2022-10-15,1,15.8,19.9,47.85,16.78,5216
"289",2022-10-16,1,16,20.2,48.18,18.31,5039
"290",2022-10-17,1,16.9,20.5,57.38,11.4,4568
"291",2022-10-18,2,16.8,21.1,69.47,7.16,4748
"292",2022-10-19,3,17.2,20.7,88.63,15.82,2420
"293",2022-10-20,1,14.5,18.3,62.99,27.45,4192
"294",2022-10-21,1,12.5,16.2,56.84,14.39,4300
"295",2022-10-22,1,12.3,16.3,62.29,6.02,4305
"296",2022-10-23,1,12.3,16.1,73.38,6.47,4376
"297",2022-10-24,1,14,17.9,76.44,7.72,4182
"298",2022-10-25,1,14.3,18.2,61.67,10.83,4684
"299",2022-10-26,2,14.9,18.6,71.32,9.66,3895
"300",2022-10-27,2,14.3,17.9,80.48,12.85,2656
"301",2022-10-28,2,8.6,10.9,58,14.92,3745
"302",2022-10-29,3,5.4,6.4,87.37,22.84,625
"303",2022-10-30,1,8.1,11.1,61.75,11.48,3327
"304",2022-10-31,1,8.9,12.8,69.63,6.91,3666
"305",2022-11-01,1,11.4,14.9,67.69,8.81,4063
"306",2022-11-02,1,10.5,14.5,71.16,5.34,4182
"307",2022-11-03,1,11.7,15.3,69.51,8.89,3972
"308",2022-11-04,2,11.5,15.2,61.63,17.67,4043
"309",2022-11-05,1,8.4,11.2,51.4,12.29,3926
"310",2022-11-06,1,9.3,13.1,72.72,5.98,3648
"311",2022-11-07,1,11.2,15,75.12,3.72,4030
"312",2022-11-08,1,11.7,15.6,71.45,4.49,4203
"313",2022-11-09,1,11.4,15.5,75.07,4.04,4105
"314",2022-11-10,2,10.6,13.7,80.52,12.29,2928
"315",2022-11-11,1,8.3,10.3,44.18,20.45,3365
"316",2022-11-12,1,9.6,12.9,54.74,13.78,4064
"317",2022-11-13,1,13.1,16.5,45.37,18.31,3715
"318",2022-11-14,1,16.7,21.2,58.12,19.93,4484
"319",2022-11-15,2,16.7,20.4,68.19,12.98,4192
"320",2022-11-16,3,13.7,17.6,92.07,8.89,1813
"321",2022-11-17,2,9,11.2,57.01,19.85,3050
"322",2022-11-18,1,6.2,8.6,40.59,10.95,3390
"323",2022-11-19,1,8.5,11.2,49.71,14.59,3662
"324",2022-11-20,2,14,17.9,67.77,12.09,3516
"325",2022-11-21,3,13.3,17.3,90.09,8.97,2762
"326",2022-11-22,3,12.1,16.1,95.29,7.72,1603
"327",2022-11-23,2,13.1,16.5,75.03,21.83,2562
"328",2022-11-24,1,10.3,13.6,54.37,10.87,1492
"329",2022-11-25,1,10.4,14,63.73,6.43,2791
"330",2022-11-26,1,10.4,14.3,67.49,4.45,3067
"331",2022-11-27,1,13.8,17.8,69.13,13.58,3065
"332",2022-11-28,1,15.6,19.5,73.56,9.24,3866
"333",2022-11-29,2,13.8,17.6,82.25,16.78,2910
"334",2022-11-30,1,8.3,10.6,60.72,17.63,3610
"335",2022-12-01,1,7.8,10.3,51.93,14.31,3722
"336",2022-12-02,1,7.9,11.6,61.96,6.55,3935
"337",2022-12-03,1,7.3,10.5,60.68,6.23,3611
"338",2022-12-04,1,8.6,12.5,76.81,5.46,3481
"339",2022-12-05,2,10.8,14.7,81.88,4.04,3808
"340",2022-12-06,3,14,17.8,94.01,15.12,2588
"341",2022-12-07,3,11.8,15,96.07,17.3,701
"342",2022-12-08,1,5.9,7.8,57.42,15.6,3317
"343",2022-12-09,1,6.9,10.9,68.89,5.38,3615
"344",2022-12-10,1,6.3,8.3,50.24,15.16,3188
"345",2022-12-11,1,4.1,7.7,48.51,4.33,2741
"346",2022-12-12,1,4.8,8.5,66.41,4.12,3307
"347",2022-12-13,1,6.6,10.1,58.41,9.14,3523
"348",2022-12-14,2,8,11.9,65.71,3.96,3735
"349",2022-12-15,2,12.3,15.6,62.78,17.42,3706
"350",2022-12-16,2,10.4,13,49.54,16.94,3573
"351",2022-12-17,2,5.6,7.5,55.52,15.81,2739
"352",2022-12-18,1,4.8,7.3,58.04,11.04,2432
"353",2022-12-19,1,6.3,9,63.11,11.24,3400
"354",2022-12-20,2,10.8,14.8,58.95,4,3746
"355",2022-12-21,2,12.6,16.4,84.97,14.39,2659
"356",2022-12-22,2,12.4,16.3,74.99,3.07,3067
"357",2022-12-23,1,10.3,13.9,67.94,17.83,2206
"358",2022-12-24,1,7.4,10,53.71,12.37,1009
"359",2022-12-25,1,6.3,9,67.45,10.08,753
"360",2022-12-26,1,8.2,10.8,50.19,15.57,1315
"361",2022-12-27,2,8.3,11.4,75.49,12.25,1161
"362",2022-12-28,1,7.3,9,49.89,19.11,2301
"363",2022-12-29,1,5.2,8.2,56.84,7.76,2421
"364",2022-12-30,1,7.8,10.9,63.03,8.73,2995
"365",2022-12-31,1,11.8,15.7,60.97,14.31,2485
